symbol	quote	low_day	high_day
HOOOLI	118.23	118.23	118.23
HOOOLI	118.37	118.23	118.37
HOOOLI	118.42	118.23	118.42
HOOOLI	118.41	118.23	118.42
HOOOLI	118.39	118.23	118.42
HOOOLI	118.37	118.23	118.42
HOOOLI	118.30	118.23	118.42
HOOOLI	118.25	118.23	118.42
HOOOLI	118.20	118.20	118.42
HOOOLI	118.11	118.11	118.42
HOOOLI	118.09	118.09	118.42
HOOOLI	118.02	118.02	118.42
HOOOLI	117.99	117.99	118.42
HOOOLI	117.95	117.95	118.42
HOOOLI	117.91	117.91	118.42
HOOOLI	117.92	117.91	118.42
HOOOLI	117.94	117.91	118.42
HOOOLI	117.89	117.89	118.42
HOOOLI	117.88	117.88	118.42
HOOOLI	117.90	117.88	118.42
HOOOLI	117.91	117.88	118.42
